AccelActuPosHSC1,EnSpdHSC1,MSLongAccelGHSC,EnToqActuExtdRngHSC1,VehSpdAvgDrvnHSC1,VehSpdAvgNonDrvnHSC1,AutocTrCmddGear_TCMHSC1,TrEstdGear_TCMHSC1,EnActuStdyStaToq_LSBHSC1,EnActuStdyStaToq_MSBHSC1,kickdown
40.784,1729.5,0.096,69,27.688,27.266,3,3,-841.5,912,0
40.784,1732,0.094,74.5,27.688,27.266,3,3,-841.5,912,0
40,1741,0.096,75.5,27.906,27.703,3,3,-844.5,920,0
34.118,1750,0.094,73,27.906,27.703,3,3,-843.5,920,0
20,1770,0.097,72.5,28.156,27.938,3,3,-846.5,920,0
0.784,1770.5,0.102,69,28.156,27.938,3,3,-840.5,904,0
0,1759.5,0.099,59.5,28.375,28.156,3,3,-846.5,904,0
0,1749,0.075,53.5,28.375,28.156,3,3,-846.5,896,0
0,1755,0.062,49.5,28.688,28.531,3,3,-841.5,888,0
0,1761,0.046,41,28.688,28.531,3,3,-844.5,880,0
0,1764,0.037,30.5,28.797,28.547,3,3,-846,872,0
0,1765.5,0.021,23.5,28.797,28.547,3,3,-841,864,0
0,1760.5,0.016,20,28.828,28.813,3,3,-840.5,856,0
0,1742.5,0.003,16.5,28.828,28.813,3,3,-847.5,864,0
0,1733.5,0.006,14,28.828,28.766,3,3,-841,856,0
0,1741,-0.002,14.5,28.828,28.766,3,3,-842,856,0
0,1776,-0.021,14,28.797,28.734,3,3,-844.5,856,0
0,1788,-0.005,12.5,28.797,28.734,3,3,-844.5,856,0
0,1800,0.003,10.5,28.641,28.672,3,3,-844.5,856,0
0,1794,0.006,11,28.641,28.672,3,3,-846,856,0
0,1789.5,0.016,10,28.656,28.438,3,3,-846.5,856,0
0,1778,0.018,9.5,28.656,28.438,3,3,-846.5,856,0
0,1733,0.024,6.5,28.625,28.531,3,3,-844.5,848,0
0,1708.5,0,8.5,28.625,28.531,3,3,-841,848,0
0,1696,-0.013,9,28.656,28.375,3,3,-844,856,0
0,1728.5,-0.029,9,28.656,28.375,3,3,-842,848,0
0,1767,-0.019,4.5,28.5,28.516,3,3,-845.5,848,0
0,1782.5,0.01,4,28.5,28.516,3,3,-844.5,848,0
0,1773.5,0,4,28.406,28.328,3,3,-845,848,0
0,1758,0.011,1.5,28.406,28.328,3,3,-847.5,848,0
0,1738.5,0.006,1,28.281,28.281,3,3,-845.5,848,0
0,1732,0.008,4.5,28.281,28.281,3,3,-845.5,848,0
0,1727,0.002,4,28.281,28.234,3,3,-845.5,848,0
